{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002328', 'epoch': '7.678'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002286', 'epoch': '7.719'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002245', 'epoch': '7.761'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002203', 'epoch': '7.802'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002162', 'epoch': '7.844'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000212', 'epoch': '7.886'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002079', 'epoch': '7.927'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002037', 'epoch': '7.969'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001996', 'epoch': '8.008'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001954', 'epoch': '8.05'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001913', 'epoch': '8.091'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001871', 'epoch': '8.133'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000183', 'epoch': '8.175'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001788', 'epoch': '8.216'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001747', 'epoch': '8.258'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001705', 'epoch': '8.299'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001664', 'epoch': '8.341'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001622', 'epoch': '8.383'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001581', 'epoch': '8.424'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001539', 'epoch': '8.466'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001498', 'epoch': '8.507'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001456', 'epoch': '8.549'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001415', 'epoch': '8.59'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001373', 'epoch': '8.632'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001332', 'epoch': '8.674'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000129', 'epoch': '8.715'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001249', 'epoch': '8.757'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001207', 'epoch': '8.798'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001166', 'epoch': '8.84'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001124', 'epoch': '8.881'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001083', 'epoch': '8.923'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001041', 'epoch': '8.965'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0001', 'epoch': '9.004'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '9.585e-05', 'epoch': '9.046'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '9.17e-05', 'epoch': '9.087'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '8.755e-05', 'epoch': '9.129'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '8.34e-05', 'epoch': '9.17'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '7.925e-05', 'epoch': '9.212'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '7.51e-05', 'epoch': '9.254'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '7.095e-05', 'epoch': '9.295'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '6.68e-05', 'epoch': '9.337'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '6.266e-05', 'epoch': '9.378'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '5.851e-05', 'epoch': '9.42'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '5.436e-05', 'epoch': '9.462'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '5.021e-05', 'epoch': '9.503'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '4.606e-05', 'epoch': '9.545'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '4.191e-05', 'epoch': '9.586'}
